frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1270,0,1921599454,78.00005340576172,1.3000009059906006,8338.1728515625,10.0,0.5668795108795166,13,200,1
1280,0,2021644136,77.40005493164062,1.2900009155273438,14140.4462890625,10.0,0.5668795108795166,13,200,1
1290,0,2121694604,77.40005493164062,1.2900009155273438,148.32369995117188,10.0,0.5668795108795166,13,200,1
1300,0,2221720894,77.40005493164062,1.2900009155273438,153.9627685546875,10.0,0.5668795108795166,13,200,1
1310,0,2321841460,77.40005493164062,1.2900009155273438,12377.8212890625,10.0,0.5668795108795166,13,200,1
1320,0,2421747488,77.40005493164062,1.2900009155273438,12757.669921875,10.0,0.5668795108795166,13,200,1
1330,0,2521625177,77.40005493164062,1.2900009155273438,12566.7314453125,10.0,0.5668795108795166,13,200,1
1340,0,2621587238,76.80005645751953,1.280000925064087,11708.3671875,10.0,0.5668795108795166,13,200,1
1350,0,2721620606,76.80005645751953,1.280000925064087,13232.1337890625,10.0,0.5668795108795166,13,200,1
1360,0,2821606162,76.80005645751953,1.280000925064087,12932.7841796875,10.0,0.5668795108795166,13,200,1
1370,0,2921844704,76.80005645751953,1.280000925064087,13248.2958984375,10.0,0.5668795108795166,13,200,1
1380,0,3021664831,76.20005798339844,1.27000093460083,13658.81640625,10.0,0.5668795108795166,13,200,1
1390,0,3121624477,76.20005798339844,1.27000093460083,13639.04296875,10.0,0.5668795108795166,13,200,1
1400,0,3221592485,76.20005798339844,1.27000093460083,14012.49609375,10.0,0.5668795108795166,13,200,1
1410,0,3321622042,76.20005798339844,1.27000093460083,14342.27734375,10.0,0.5668795108795166,13,200,1
1420,0,3421599273,75.60005950927734,1.2600009441375732,14602.1015625,10.0,0.5668795108795166,13,200,1
1430,0,3521570369,75.60005950927734,1.2600009441375732,15371.5068359375,10.0,0.5668795108795166,13,200,1
1440,0,3621588192,75.60005950927734,1.2600009441375732,14220.349609375,10.0,0.5668795108795166,13,200,1
1450,0,3721588632,75.60005950927734,1.2600009441375732,14153.8046875,10.0,0.5668795108795166,13,200,1
1460,0,3821601071,75.00006103515625,1.2500009536743164,12440.0986328125,10.0,0.5668795108795166,13,200,1
1470,0,3921557850,74.40005493164062,1.2400009632110596,11664.80078125,10.0,0.5668795108795166,13,200,1
1480,0,4021570156,73.80005645751953,1.2300009727478027,10996.4111328125,10.0,0.5668795108795166,13,200,1
1490,0,4121597210,73.20005798339844,1.220000982284546,10720.953125,10.0,0.5668795108795166,13,200,1
1500,0,4221585331,72.60005950927734,1.210000991821289,8183.802734375,10.0,0.5668795108795166,13,200,1
1510,0,26680520,72.00006103515625,1.2000010013580322,8198.7158203125,10.0,0.5668795108795166,13,200,1
1520,0,126600274,72.60005950927734,1.210000991821289,11794.537109375,10.0,0.5668795108795166,13,200,1
1530,0,226604387,73.20005798339844,1.220000982284546,11818.212890625,10.0,0.5668795108795166,13,200,1
1540,0,326638007,73.80005645751953,1.2300009727478027,11548.3720703125,10.0,0.5668795108795166,13,200,1
1550,0,426667260,74.40005493164062,1.2400009632110596,11691.5576171875,10.0,0.5668795108795166,13,200,1
1560,0,526660887,74.98953247070312,1.2498254776000977,11689.923828125,10.0,0.5668795108795166,13,200,1
1570,0,626652263,74.97750091552734,1.2496249675750732,11772.10546875,10.0,0.5668795108795166,13,200,1
1580,0,726647204,75.01358795166016,1.2502264976501465,11752.3994140625,10.0,0.5668795108795166,13,200,1
1590,0,826689786,75.02561950683594,1.250427007675171,11024.025390625,10.0,0.5668795108795166,13,200,1
1600,0,926706297,75.02561950683594,1.250427007675171,85.14710235595703,10.0,0.5668795108795166,13,200,1
1610,0,1026666644,75.02561950683594,1.250427007675171,88.741455078125,10.0,0.5668795108795166,13,200,1
