frame_number,subframe_number,time_cpu_cycles,sample_power_mean,power_threshold,best_score,selected_score,left_neighbor_score,right_neighbor_score,guide_freq,coarse_freq,fine_freq,guide_peak_mag,coarse_peak_mag,fine_peak_mag,signal_power,alpha,range_step,selected_range_meters,best_range_bin,selected_range_bin,prev_selected_range_bin,window_length,sample_count,is_filled,valid,gate_changed,search_max_bin
1,0,1843916468,0.0,0.0,88438.1796875,88438.1796875,43116.5,42315.7890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,65535,200,0,0,0,1,57
10,0,1933925907,0.0,0.0,429087.59375,429087.59375,232141.40625,243202.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,5,0,0,0,57
20,0,2034100197,0.0,0.0,1459494.375,1459494.375,538166.625,998606.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,10,0,0,0,57
30,0,2133957681,0.0,0.0,3986183.75,3986183.75,1169788.625,2642999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,15,0,0,0,57
40,0,2233926860,0.0,0.0,4536489.0,4536489.0,1286860.75,3176951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,20,0,0,0,57
50,0,2333899293,0.0,0.0,5458273.0,5458273.0,1477238.5,4095485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,25,0,0,0,57
60,0,2433919708,0.0,0.0,5777654.0,5777654.0,1508447.75,4618016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,30,0,0,0,57
70,0,2533911607,0.0,0.0,6242277.5,6242277.5,1595122.5,5124164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,35,0,0,0,57
80,0,2633906508,0.0,0.0,7134980.0,7134980.0,1863736.375,5618228.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,40,0,0,0,57
90,0,2733913203,0.0,0.0,7767166.5,7767166.5,2008822.75,6394729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,45,0,0,0,57
100,0,2833881018,0.0,0.0,7950728.5,7950728.5,2067434.875,6898714.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,50,0,0,0,57
110,0,2933907214,0.0,0.0,7899322.5,7899322.5,2056482.375,7271029.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,55,0,0,0,57
120,0,3033913421,0.0,0.0,9060148.0,9060148.0,2212985.75,8408933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.5668795108795166,13,13,13,200,60,0,0,0,57
130,0,3133903479,0.0,0.0,9294099.0,9294099.0,2216411.0,8616466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.043606117367744446,0.5668795108795166,13,13,13,200,65,0,0,0,57
