frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1,0,1843916468,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
10,0,1933925907,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
20,0,2034100197,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
30,0,2133957681,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
40,0,2233926860,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
50,0,2333899293,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
60,0,2433919708,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
70,0,2533911607,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
80,0,2633906508,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
90,0,2733913203,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
100,0,2833881018,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
110,0,2933907214,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
120,0,3033913421,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
130,0,3133903479,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
140,0,3233900612,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
150,0,3333916230,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
160,0,3433935596,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
170,0,3533905786,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
180,0,3633909983,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
190,0,3733932355,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
200,0,3833908008,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
210,0,3933934814,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
220,0,4033904045,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
230,0,4133924805,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
240,0,4233875846,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
250,0,38936744,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
260,0,138935354,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
270,0,238955043,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
280,0,338926605,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
290,0,438939035,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
300,0,538962969,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
310,0,638948860,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
320,0,738931422,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
330,0,838928147,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
340,0,938933186,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
350,0,1038940573,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
360,0,1138989914,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
370,0,1238983899,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
380,0,1338955677,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
390,0,1438935909,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
400,0,1542598518,68.99095153808594,1.1498491764068604,9792.80078125,10.0,0.5668795108795166,13,200,1
410,0,1643850931,69.00899505615234,1.150149941444397,9026.1845703125,10.0,0.5668795108795166,13,200,1
420,0,1743854204,69.02703857421875,1.1504507064819336,8018.0703125,10.0,0.5668795108795166,13,200,1
430,0,1843857623,69.00899505615234,1.150149941444397,8924.2197265625,10.0,0.5668795108795166,13,200,1
440,0,1943840725,68.99095153808594,1.1498491764068604,8075.05224609375,10.0,0.5668795108795166,13,200,1
450,0,2043856165,68.97290802001953,1.1495484113693237,6976.97705078125,10.0,0.5668795108795166,13,200,1
460,0,2143848853,68.99095153808594,1.1498491764068604,8273.333984375,10.0,0.5668795108795166,13,200,1
470,0,2243882186,69.89095306396484,1.1648491621017456,4765.1796875,10.0,0.5668795108795166,13,200,1
480,0,2343923068,70.79094696044922,1.1798491477966309,4264.21728515625,10.0,0.5668795108795166,13,200,1
490,0,2443965469,71.69094848632812,1.1948491334915161,6516.6708984375,10.0,0.5668795108795166,13,200,1
500,0,2543961658,72.59095001220703,1.2098491191864014,6407.99169921875,10.0,0.5668795108795166,13,200,1
510,0,2643975597,73.4909439086914,1.2248491048812866,4931.759765625,10.0,0.5668795108795166,13,200,1
520,0,2743961068,74.39094543457031,1.2398490905761719,6020.33203125,10.0,0.5668795108795166,13,200,1
530,0,2843975513,75.29094696044922,1.2548490762710571,6581.73193359375,10.0,0.5668795108795166,13,200,1
540,0,2943926609,74.39094543457031,1.2398490905761719,9317.841796875,10.0,0.5668795108795166,13,200,1
550,0,3043871881,73.4909439086914,1.2248491048812866,9356.9287109375,10.0,0.5668795108795166,13,200,1
560,0,3143932837,74.39094543457031,1.2398490905761719,7979.0166015625,10.0,0.5668795108795166,13,200,1
570,0,3243949850,75.29094696044922,1.2548490762710571,9621.4384765625,10.0,0.5668795108795166,13,200,1
580,0,3343992700,76.1909408569336,1.2698490619659424,9623.365234375,10.0,0.5668795108795166,13,200,1
590,0,3444076860,77.0909423828125,1.2848490476608276,8901.1337890625,10.0,0.5668795108795166,13,200,1
600,0,3544073642,76.1909408569336,1.2698490619659424,6959.3837890625,10.0,0.5668795108795166,13,200,1
610,0,3643963132,75.29094696044922,1.2548490762710571,7501.4130859375,10.0,0.5668795108795166,13,200,1
620,0,3743926923,75.02027130126953,1.250337839126587,8153.1533203125,10.0,0.5668795108795166,13,200,1
630,0,3843937896,74.96613311767578,1.249435544013977,7156.7314453125,10.0,0.5668795108795166,13,200,1
640,0,3943920973,74.98417663574219,1.2497363090515137,8311.029296875,10.0,0.5668795108795166,13,200,1
650,0,4043925685,75.00222778320312,1.2500370740890503,6752.82666015625,10.0,0.5668795108795166,13,200,1
660,0,4143938751,75.02027130126953,1.250337839126587,7570.7099609375,10.0,0.5668795108795166,13,200,1
670,0,4244063451,75.00222778320312,1.2500370740890503,5766.79296875,10.0,0.5668795108795166,13,200,1
680,0,49048840,74.98417663574219,1.2497363090515137,6929.9921875,10.0,0.5668795108795166,13,200,1
690,0,148967592,75.00222778320312,1.2500370740890503,7718.25927734375,10.0,0.5668795108795166,13,200,1
700,0,248969765,75.02027130126953,1.250337839126587,6399.12744140625,10.0,0.5668795108795166,13,200,1
710,0,348996759,75.92027282714844,1.2653378248214722,8422.970703125,10.0,0.5668795108795166,13,200,1
720,0,449013531,76.82026672363281,1.2803378105163574,7781.97607421875,10.0,0.5668795108795166,13,200,1
730,0,548993345,75.92027282714844,1.2653378248214722,8131.38916015625,10.0,0.5668795108795166,13,200,1
740,0,648956338,75.02027130126953,1.250337839126587,6450.60791015625,10.0,0.5668795108795166,13,200,1
750,0,748957576,74.96613311767578,1.249435544013977,5838.62451171875,10.0,0.5668795108795166,13,200,1
760,0,848970303,74.98417663574219,1.2497363090515137,4765.66748046875,10.0,0.5668795108795166,13,200,1
770,0,948962320,75.00222778320312,1.2500370740890503,5454.1474609375,10.0,0.5668795108795166,13,200,1
780,0,1048979016,75.02027130126953,1.250337839126587,2742.470458984375,10.0,0.5668795108795166,13,200,1
790,0,1148959297,75.00222778320312,1.2500370740890503,6022.63720703125,10.0,0.5668795108795166,13,200,1
800,0,1248946305,74.98417663574219,1.2497363090515137,6325.67578125,10.0,0.5668795108795166,13,200,1
810,0,1348985996,75.00222778320312,1.2500370740890503,6997.5361328125,10.0,0.5668795108795166,13,200,1
820,0,1448980367,75.02027130126953,1.250337839126587,4283.50927734375,10.0,0.5668795108795166,13,200,1
830,0,1548999733,75.92027282714844,1.2653378248214722,6702.2626953125,10.0,0.5668795108795166,13,200,1
840,0,1649009233,76.82026672363281,1.2803378105163574,6185.59130859375,10.0,0.5668795108795166,13,200,1
850,0,1749023257,77.72026824951172,1.2953377962112427,5300.82421875,10.0,0.5668795108795166,13,200,1
