frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1,0,979355666,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
2,0,999334732,0.0,0.0,0.0,10.000001907348633,0.5668795108795166,13,125,0
3,0,1019312858,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
4,0,1039344550,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
5,0,1059314116,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
6,0,1079305277,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
7,0,1099326667,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
8,0,1119323964,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
9,0,1139302253,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
10,0,1159338763,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
11,0,1179332709,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
12,0,1199307903,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
13,0,1219313928,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
14,0,1239321368,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
15,0,1259302078,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
16,0,1279322054,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
17,0,1299323387,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
18,0,1319312491,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
19,0,1339304629,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
20,0,1359305855,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
21,0,1379308625,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
22,0,1399310108,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
23,0,1419318975,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
24,0,1439298796,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
25,0,1459311649,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
26,0,1479283973,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
27,0,1499279824,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
28,0,1519295541,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
29,0,1539274611,0.0,0.0,0.0,10.0,0.5668795108795166,13,125,0
