frame_number,subframe_number,time_cpu_cycles,sample_power_mean,power_threshold,best_score,selected_score,left_neighbor_score,right_neighbor_score,guide_freq,coarse_freq,fine_freq,guide_peak_mag,coarse_peak_mag,fine_peak_mag,signal_power,alpha,range_step,selected_range_meters,best_range_bin,selected_range_bin,prev_selected_range_bin,window_length,sample_count,is_filled,valid,gate_changed,search_max_bin
1,0,979355666,0.0,0.0,224053.96875,224053.96875,109803.5625,55518.11328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,65535,125,1,0,0,1,57
2,0,999334732,0.0,0.0,476353.4375,476353.4375,251008.65625,67316.7265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,2,0,0,0,57
3,0,1019312858,0.0,0.0,718475.75,718475.75,370215.0,121056.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,3,0,0,0,57
4,0,1039344550,0.0,0.0,926759.5,926759.5,465187.875,182464.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,4,0,0,0,57
5,0,1059314116,0.0,0.0,1120890.25,1120890.25,562718.3125,194619.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,5,0,0,0,57
6,0,1079305277,0.0,0.0,1332710.125,1332710.125,669752.25,213321.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,6,0,0,0,57
7,0,1099326667,0.0,0.0,1426143.375,1426143.375,719897.1875,215253.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,7,0,0,0,57
8,0,1119323964,0.0,0.0,1514600.375,1514600.375,782236.6875,214172.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,8,0,0,0,57
9,0,1139302253,0.0,0.0,1559624.875,1559624.875,814710.625,213154.890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,9,0,0,0,57
10,0,1159338763,0.0,0.0,1661304.375,1661304.375,860960.5625,257054.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,10,0,0,0,57
11,0,1179332709,0.0,0.0,1776587.0,1776587.0,887551.5,378910.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,11,0,0,0,57
12,0,1199307903,0.0,0.0,1805030.25,1805030.25,895943.3125,407308.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,12,0,0,0,57
13,0,1219313928,0.0,0.0,1798055.125,1798055.125,896312.9375,408291.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,13,0,0,0,57
14,0,1239321368,0.0,0.0,1795748.375,1795748.375,895180.0625,409840.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,14,0,0,0,57
15,0,1259302078,0.0,0.0,1803608.5,1803608.5,900722.8125,423758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,15,0,0,0,57
16,0,1279322054,0.0,0.0,1813556.875,1813556.875,912202.125,427893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,16,0,0,0,57
17,0,1299323387,0.0,0.0,1819429.125,1819429.125,922438.375,430470.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,17,0,0,0,57
18,0,1319312491,0.0,0.0,1828270.125,1828270.125,924905.0625,443131.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,18,0,0,0,57
19,0,1339304629,0.0,0.0,1858526.75,1858526.75,945556.875,457149.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,19,0,0,0,57
20,0,1359305855,0.0,0.0,1901133.25,1901133.25,966488.5625,476026.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,20,0,0,0,57
21,0,1379308625,0.0,0.0,1964430.25,1964430.25,986023.8125,520783.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,21,0,0,0,57
22,0,1399310108,0.0,0.0,2048032.25,2048032.25,1015907.875,570330.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,22,0,0,0,57
23,0,1419318975,0.0,0.0,2073871.375,2073871.375,1026074.8125,589446.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,23,0,0,0,57
24,0,1439298796,0.0,0.0,2116723.25,2116723.25,1033180.25,656355.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00800000037997961,0.043606117367744446,0.5668795108795166,13,13,13,125,24,0,0,0,57
