frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1,0,1682582902,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
2,0,1702554904,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
3,0,1722548425,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
4,0,1742562420,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
5,0,1762524312,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
6,0,1782538288,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
7,0,1802617927,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
8,0,1822690016,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
9,0,1842626496,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
10,0,1862657444,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
11,0,1882636317,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
12,0,1902594727,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
13,0,1922500031,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
14,0,1942529026,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
15,0,1962490812,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
16,0,1982492331,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
17,0,2002511938,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
18,0,2022515857,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
19,0,2042499561,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
20,0,2062503875,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
21,0,2082461236,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
22,0,2102482290,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
23,0,2122473300,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
24,0,2142479544,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
25,0,2162531176,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
26,0,2182477609,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
27,0,2202497656,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
28,0,2222497915,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
29,0,2242503551,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
30,0,2262493145,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
31,0,2282529660,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
32,0,2302504037,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
33,0,2322489704,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
34,0,2342478789,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
35,0,2362490144,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
36,0,2382511446,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
37,0,2402518917,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
38,0,2422508206,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
39,0,2442509565,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
40,0,2462511421,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
41,0,2482487916,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
42,0,2502514917,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
43,0,2522504965,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
44,0,2542483260,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
45,0,2562505408,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
46,0,2582465970,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
47,0,2602502746,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
48,0,2622504107,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
49,0,2642467120,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
50,0,2662496670,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
51,0,2682482016,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
52,0,2702466113,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
53,0,2722510792,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
54,0,2742483276,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
55,0,2762476065,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
56,0,2782485071,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
57,0,2802470891,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
58,0,2822475778,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
59,0,2842513960,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
60,0,2862476211,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
61,0,2882477627,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
62,0,2902472471,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
63,0,2922498413,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
64,0,2942522524,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
65,0,2962471566,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
66,0,2982505925,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
67,0,3002479489,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
68,0,3022497425,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
69,0,3042503060,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
70,0,3062533585,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
71,0,3082491121,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
72,0,3102510842,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
73,0,3122516721,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
74,0,3142500674,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
75,0,3162525664,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
76,0,3182516071,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
77,0,3202457917,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
78,0,3222488045,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
79,0,3242483911,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
