frame_number,subframe_number,time_cpu_cycles,sample_power_mean,power_threshold,best_score,selected_score,left_neighbor_score,right_neighbor_score,guide_freq,coarse_freq,fine_freq,guide_peak_mag,coarse_peak_mag,fine_peak_mag,signal_power,alpha,range_step,selected_range_meters,best_range_bin,selected_range_bin,prev_selected_range_bin,window_length,sample_count,is_filled,valid,gate_changed,search_max_bin
1,0,1682582902,0.0,0.0,284554.0,284554.0,166153.03125,127106.5390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,65535,200,1,0,0,1,57
2,0,1702554904,0.0,0.0,517240.625,517240.625,258785.65625,261117.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999998956918716,0.043606117367744446,0.5668795108795166,13,13,13,200,2,0,0,0,57
3,0,1722548425,0.0,0.0,626083.8125,626083.8125,295989.4375,334702.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,3,0,0,0,57
4,0,1742562420,0.0,0.0,696617.625,696617.625,305735.78125,416402.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,4,0,0,0,57
5,0,1762524312,0.0,0.0,837760.8125,837760.8125,346783.40625,520972.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,5,0,0,0,57
6,0,1782538288,0.0,0.0,1142590.75,1142590.75,469397.15625,658160.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,6,0,0,0,57
7,0,1802617927,0.0,0.0,1402288.875,1402288.875,517026.21875,812953.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,7,0,0,0,57
8,0,1822690016,0.0,0.0,1721886.875,1721886.875,618387.75,1025912.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,8,0,0,0,57
9,0,1842626496,0.0,0.0,1735043.75,1735043.75,684013.3125,1064181.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,9,0,0,0,57
10,0,1862657444,0.0,0.0,1740665.125,1740665.125,776971.0,1100051.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,10,0,0,0,57
11,0,1882636317,0.0,0.0,1770722.75,1770722.75,773798.8125,1128448.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,11,0,0,0,57
12,0,1902594727,0.0,0.0,1839479.0,1839479.0,789171.375,1234096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,12,0,0,0,57
13,0,1922500031,0.0,0.0,1959958.5,1959958.5,817168.3125,1384342.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,13,0,0,0,57
14,0,1942529026,0.0,0.0,2112143.5,2112143.5,840615.1875,1575428.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,14,0,0,0,57
15,0,1962490812,0.0,0.0,2153154.0,2153154.0,856142.4375,1629675.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,15,0,0,0,57
16,0,1982492331,0.0,0.0,2187418.25,2187418.25,875684.5,1656832.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,16,0,0,0,57
17,0,2002511938,0.0,0.0,2188071.5,2188071.5,876207.375,1673436.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,17,0,0,0,57
18,0,2022515857,0.0,0.0,2185171.25,2185171.25,892416.125,1673142.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,18,0,0,0,57
19,0,2042499561,0.0,0.0,2203489.25,2203489.25,912796.0,1687488.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,19,0,0,0,57
20,0,2062503875,0.0,0.0,2297621.25,2297621.25,979656.3125,1719461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,20,0,0,0,57
21,0,2082461236,0.0,0.0,2505332.25,2505332.25,1092513.125,1803584.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,21,0,0,0,57
22,0,2102482290,0.0,0.0,2707914.75,2707914.75,1200167.625,1891708.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,22,0,0,0,57
23,0,2122473300,0.0,0.0,2938763.25,2938763.25,1323603.875,1995033.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,23,0,0,0,57
24,0,2142479544,0.0,0.0,3090387.25,3090387.25,1417151.25,2055703.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.043606117367744446,0.5668795108795166,13,13,13,200,24,0,0,0,57
