frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1,0,966323578,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
5,0,1046306294,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
10,0,1146314059,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
15,0,1246305827,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
20,0,1346306274,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
25,0,1446290432,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
30,0,1546316089,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
35,0,1646312557,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
40,0,1746291510,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
45,0,1846299014,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
50,0,1946306378,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
55,0,2046318074,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
60,0,2146382153,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
65,0,2246324374,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
70,0,2346279421,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
75,0,2446322396,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
80,0,2546302558,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
85,0,2646300117,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
90,0,2746307598,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
95,0,2846280855,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
100,0,2946309292,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
105,0,3046285346,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
110,0,3146286195,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
115,0,3246292439,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
120,0,3346302297,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
125,0,3446280786,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
130,0,3546303656,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
135,0,3646291781,0.0,0.0,0.0,10.0,0.6540917754173279,15,200,0
