frame_number,subframe_number,time_cpu_cycles,sample_power_mean,power_threshold,best_score,selected_score,left_neighbor_score,right_neighbor_score,guide_freq,coarse_freq,fine_freq,guide_peak_mag,coarse_peak_mag,fine_peak_mag,signal_power,alpha,range_step,selected_range_meters,best_range_bin,selected_range_bin,prev_selected_range_bin,window_length,sample_count,is_filled,valid,gate_changed,search_max_bin
1,0,3258265965,0.0,0.0,150281.21875,150281.21875,68360.21875,65618.6015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,65535,200,0,0,0,1,57
2,0,3268305274,0.0,0.0,325015.15625,325015.15625,130901.890625,147449.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002499999012798071,0.043606117367744446,0.6104856729507446,14,14,14,200,1,0,0,0,57
3,0,3278287439,0.0,0.0,487152.375,487152.375,189837.375,219231.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,1,0,0,0,57
4,0,3288244820,0.0,0.0,613862.4375,613862.4375,258478.1875,258304.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,2,0,0,0,57
5,0,3298218400,0.0,0.0,703768.8125,703768.8125,308134.59375,287442.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,2,0,0,0,57
6,0,3308228241,0.0,0.0,800630.9375,800630.9375,375886.625,325322.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,3,0,0,0,57
7,0,3318240801,0.0,0.0,878040.4375,878040.4375,425499.5625,360907.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,3,0,0,0,57
8,0,3328236000,0.0,0.0,943524.125,943524.125,485668.46875,380602.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,4,0,0,0,57
9,0,3338189941,0.0,0.0,1002695.375,1002695.375,533682.5,400069.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,4,0,0,0,57
10,0,3348207073,0.0,0.0,1063397.375,1063397.375,583305.1875,418208.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,5,0,0,0,57
11,0,3358228160,0.0,0.0,1128574.125,1128574.125,645202.25,436084.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,5,0,0,0,57
12,0,3368249438,0.0,0.0,1180879.125,1180879.125,684978.4375,455762.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,6,0,0,0,57
13,0,3378238039,0.0,0.0,1248113.25,1248113.25,739024.4375,482256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,6,0,0,0,57
14,0,3388198606,0.0,0.0,1333509.25,1333509.25,790728.6875,525114.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,7,0,0,0,57
15,0,3398231309,0.0,0.0,1421719.5,1421719.5,838900.0,568177.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,7,0,0,0,57
16,0,3408235699,0.0,0.0,1513608.875,1513608.875,892766.125,605386.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,8,0,0,0,57
17,0,3418246964,0.0,0.0,1613375.25,1613375.25,955445.625,638476.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,8,0,0,0,57
18,0,3428241807,0.0,0.0,1710345.375,1710345.375,1008589.125,669285.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,9,0,0,0,57
19,0,3438243869,0.0,0.0,1828844.75,1828844.75,1087044.375,703099.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,9,0,0,0,57
20,0,3448250710,0.0,0.0,2002491.375,2002491.375,1212577.375,746950.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.043606117367744446,0.6104856729507446,14,14,14,200,10,0,0,0,57
