frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1,0,3258265965,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
2,0,3268305274,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
3,0,3278287439,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
4,0,3288244820,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
5,0,3298218400,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
6,0,3308228241,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
7,0,3318240801,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
8,0,3328236000,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
9,0,3338189941,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
10,0,3348207073,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
11,0,3358228160,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
12,0,3368249438,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
13,0,3378238039,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
14,0,3388198606,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
15,0,3398231309,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
16,0,3408235699,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
17,0,3418246964,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
18,0,3428241807,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
19,0,3438243869,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
20,0,3448250710,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
21,0,3458265996,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
22,0,3468249570,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
23,0,3478242637,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
24,0,3488253863,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
25,0,3498238576,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
26,0,3508233300,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
27,0,3518229816,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
28,0,3528241619,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
29,0,3538204958,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
30,0,3548222668,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
31,0,3558224362,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
32,0,3568196306,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
33,0,3578202178,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
34,0,3588222442,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
35,0,3598210750,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
36,0,3608221609,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
37,0,3618216436,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
38,0,3628230615,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
39,0,3638254465,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
40,0,3648253585,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
41,0,3658279147,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
42,0,3668334437,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
